"","Bias.Coef..mean.","Bias.Coef..sd.","Width..mean.","Width..sd.","MSE..mean.","MSE..sd.","Coverage","it..mean.","it..sd.","miss","actual_missing..mean.","actual_missing..sd.","dist","mp","m","k","tail","hmi","pmass","std","method"
"423",-0.322709862516568,2.21878728866163,0.119080413710982,0.00198111217112841,2.65109037763021,0.0815033792281884,0.99,25,0,0.1,0.133924,0.0056369023802479,"pois","MAR",25,1,"left","False",0.25,0.030378214765749,"pmm"
"424",-0.355231742583958,2.18234895764507,0.119135197841004,0.00189325061526523,2.65479676429625,0.0803201362728428,0.996,40,0,0.1,0.133952666666667,0.00591883843709595,"pois","MAR",40,1,"left","False",0.25,0.0303921905659303,"pmm"
"425",-0.144999973970703,2.28436008359595,0.119602125382461,0.00266580430904582,2.66324570458929,0.0830573077855558,0.992,5,0,0.1,0.133850666666667,0.005448866304104,"pois","MAR",5,3,"left","False",0.25,0.0305113069234606,"pmm"
"426",-0.396050342262031,2.15183901351921,0.119275657528786,0.00209096154524679,2.64952413706144,0.0802710212510956,0.99,10,0,0.1,0.134186,0.00602135676848111,"pois","MAR",10,3,"left","False",0.25,0.0304280227773615,"pmm"
"427",-0.385730648799488,2.19484852955423,0.119263346953281,0.00185533409975567,2.65738457946965,0.0756653368780378,0.994,25,0,0.1,0.133682,0.00599280943205179,"pois","MAR",25,3,"left","False",0.25,0.0304248822667192,"pmm"
"428",-0.333948245046874,2.28343236217211,0.119229147994619,0.00189282916841256,2.65817202436951,0.0804403832398313,0.988,40,0,0.1,0.133938666666667,0.00581670147076502,"pois","MAR",40,3,"left","False",0.25,0.0304161578822577,"pmm"
"429",-0.443541370934393,2.21071537899371,0.119492374674182,0.00270386887413557,2.65357703189309,0.0750610273416664,0.99,5,0,0.1,0.134074666666667,0.0055448256560108,"pois","MAR",5,5,"left","False",0.25,0.0304833087793255,"pmm"
"430",-0.493189066116018,2.13171729832392,0.119308286451765,0.00215574231036211,2.65589064830885,0.0790876125817968,0.99,10,0,0.1,0.133908666666667,0.00589492176934238,"pois","MAR",10,5,"left","False",0.25,0.0304363466351563,"pmm"
"431",-0.317915670022657,2.15123586531305,0.119139815678483,0.00191708250047487,2.65404071261222,0.0807220893863147,1,25,0,0.1,0.133735333333333,0.00587979179525564,"pois","MAR",25,5,"left","False",0.25,0.0303933686073428,"pmm"
"432",-0.283349751105436,2.23574584115072,0.11933154199357,0.00184817943260335,2.66184381324356,0.0787210212137805,0.99,40,0,0.1,0.133816666666667,0.00562525554975061,"pois","MAR",40,5,"left","False",0.25,0.0304422792803447,"pmm"
